timestamp,position,velocity,acceleration,angular_rate,motor_controls
2024-11-26T17:31:59.276068,"[0.13504613935947418, 0.10042779892683029, -2.5650413036346436]","[-0.10180862247943878, -0.040237538516521454, -0.18960429728031158]","[-0.2456633597612381, -0.11717834323644638, 0.6904106140136719]","[-0.014385796, 0.0014370283, 0.1538764]","[0.7459313273429871, 0.7470165491104126, 0.7641720175743103, 0.7564084529876709]"
2024-11-26T17:31:59.375910,"[0.15138080716133118, 0.09955254942178726, -2.617548704147339]","[-0.10793235898017883, -0.046373769640922546, -0.14186504483222961]","[-0.24807405471801758, -0.06460787355899811, 0.5493357181549072]","[0.009033776, 0.002498818, 0.12138612]","[0.7510247826576233, 0.7454028129577637, 0.7633781433105469, 0.7619315981864929]"
2024-11-26T17:31:59.476036,"[0.1676781177520752, 0.09778182208538055, -2.667501449584961]","[-0.11526850610971451, -0.051877234131097794, -0.09916163980960846]","[-0.23988665640354156, -0.05658780410885811, 0.4928942620754242]","[-0.009075773, 0.005428317, 0.08649871]","[0.7528191804885864, 0.7473648190498352, 0.7638780474662781, 0.7612825632095337]"
2024-11-26T17:31:59.575900,"[0.1771722435951233, 0.0945502296090126, -2.7042295932769775]","[-0.12812820076942444, -0.055913787335157394, -0.05757414177060127]","[-0.2194117158651352, -0.06633947789669037, 0.39112794399261475]","[-0.004814725, 0.007825183, 0.05533975]","[0.7563908696174622, 0.753432035446167, 0.766825258731842, 0.7635196447372437]"
2024-11-26T17:31:59.676073,"[0.18476784229278564, 0.09088809788227081, -2.7343618869781494]","[-0.14071007072925568, -0.06034460291266441, -0.024422958493232727]","[-0.22654329240322113, -0.04211939126253128, 0.39702460169792175]","[0.00024518673, 0.010488347, 0.02924073]","[0.759304404258728, 0.7583054900169373, 0.7676013112068176, 0.7639023065567017]"
2024-11-26T17:31:59.775899,"[0.20891448855400085, 0.0902097299695015, -2.785815477371216]","[-0.13833917677402496, -0.061146531254053116, -0.005216069519519806]","[-0.2103961557149887, -0.03171287849545479, 0.3340494632720947]","[0.0055611087, 0.006490206, 0.014327413]","[0.7587235569953918, 0.7522578239440918, 0.759032130241394, 0.7627065777778625]"
2024-11-26T17:31:59.876093,"[0.22129158675670624, 0.08689176291227341, -2.8195130825042725]","[-0.14814311265945435, -0.0629366934299469, 0.03087976574897766]","[-0.2553038001060486, -0.04240557923913002, 0.40323302149772644]","[-0.03838077, 0.0059575904, 0.00074531825]","[0.7588565349578857, 0.7588329911231995, 0.7662540078163147, 0.761039137840271]"
2024-11-26T17:31:59.975983,"[0.22932106256484985, 0.08349023014307022, -2.839432716369629]","[-0.15794657170772552, -0.06515795737504959, 0.05506439134478569]","[-0.28245308995246887, -0.005669438745826483, 0.25401613116264343]","[-0.007754512, 0.007022901, -0.009641069]","[0.7660199403762817, 0.7627941370010376, 0.7688292264938354, 0.7647277116775513]"
2024-11-26T17:32:00.075895,"[0.2348661869764328, 0.07959038019180298, -2.85784649848938]","[-0.1692619025707245, -0.06710809469223022, 0.07081287354230881]","[-0.24676841497421265, -0.03725052997469902, 0.1710362434387207]","[0.0066266432, 0.005957692, -0.0104400255]","[0.7685127854347229, 0.765698254108429, 0.7715013027191162, 0.7671948671340942]"
2024-11-26T17:32:00.176081,"[0.2539476156234741, 0.07563918083906174, -2.8934381008148193]","[-0.16945698857307434, -0.06885380297899246, 0.07648427784442902]","[-0.24482634663581848, -0.01146374549716711, 0.14523380994796753]","[0.014345584, 0.010749315, -0.017097894]","[0.7670125961303711, 0.7579380869865417, 0.7616639733314514, 0.7650482654571533]"
2024-11-26T17:32:00.276038,"[0.26821082830429077, 0.07023943960666656, -2.921558141708374]","[-0.173073872923851, -0.06864450871944427, 0.0959746465086937]","[-0.20648841559886932, 0.003177012549713254, 0.3136003613471985]","[-0.048505016, 0.014743885, -0.014967269]","[0.7612032890319824, 0.7638288140296936, 0.7656682729721069, 0.7600904107093811]"
2024-11-26T17:32:00.375970,"[0.2710302770137787, 0.0648704543709755, -2.9312267303466797]","[-0.18380498886108398, -0.06834039092063904, 0.11578626185655594]","[-0.2795468270778656, 0.008351012133061886, 0.1965894103050232]","[-0.018943885, 0.013678685, -0.01150527]","[0.7686874866485596, 0.7679898142814636, 0.7708381414413452, 0.7658793330192566]"
2024-11-26T17:32:00.475880,"[0.2680422067642212, 0.05818788707256317, -2.936100721359253]","[-0.2013218253850937, -0.06746193766593933, 0.12630246579647064]","[-0.2679053544998169, 0.01553434133529663, 0.07902327924966812]","[0.018340258, 0.007021076, -0.013902294]","[0.7722406983375549, 0.7728837132453918, 0.7734967470169067, 0.7708926200866699]"
2024-11-26T17:32:00.575847,"[0.2701927721500397, 0.05377428978681564, -2.9512686729431152]","[-0.2099631130695343, -0.0651610866189003, 0.12441632151603699]","[-0.22828041017055511, 0.03282029926776886, 0.028658149763941765]","[0.042043183, 0.00036152577, -0.01257057]","[0.7760023474693298, 0.7687323093414307, 0.7692562341690063, 0.7723404765129089]"
2024-11-26T17:32:00.675986,"[0.28122594952583313, 0.05162791535258293, -2.9790430068969727]","[-0.20941485464572906, -0.061993811279535294, 0.12307186424732208]","[-0.19363124668598175, 0.0035361493937671185, 0.12499532848596573]","[-0.001366323, 0.0030248, -0.0115053365]","[0.7674099206924438, 0.764568030834198, 0.7648367285728455, 0.7646238803863525]"
2024-11-26T17:32:00.776020,"[0.28812867403030396, 0.04881390556693077, -3.002676486968994]","[-0.21307721734046936, -0.05837715044617653, 0.1377696692943573]","[-0.19704589247703552, 0.016370171681046486, 0.2400696724653244]","[-0.032791417, 0.0024922194, -0.006445361]","[0.7635083198547363, 0.7633479833602905, 0.7650420665740967, 0.7622658014297485]"
2024-11-26T17:32:00.875944,"[0.28702089190483093, 0.0455557256937027, -3.0110208988189697]","[-0.22152628004550934, -0.056776463985443115, 0.15411341190338135]","[-0.21307536959648132, 0.014199048280715942, 0.17337708175182343]","[-0.008822914, 0.00089443155, -0.008842319]","[0.7689718008041382, 0.7671729326248169, 0.7693691849708557, 0.764748752117157]"
2024-11-26T17:32:00.975978,"[0.2861194908618927, 0.04241335391998291, -3.0231361389160156]","[-0.22800488770008087, -0.05287521332502365, 0.16086584329605103]","[-0.19812937080860138, 0.019223196431994438, 0.07576773315668106]","[0.016481832, -0.0017697687, -0.006978196]","[0.7723008990287781, 0.768665611743927, 0.7707248330116272, 0.7686261534690857]"
2024-11-26T17:32:01.076036,"[0.29859235882759094, 0.04083308205008507, -3.0594828128814697]","[-0.2248595952987671, -0.049625009298324585, 0.1626487821340561]","[-0.1639370620250702, -0.0127934031188488, 0.23444333672523499]","[-0.01041616, -0.003101342, -0.003249771]","[0.7626580595970154, 0.7581714987754822, 0.7618600726127625, 0.7597224116325378]"
